[2023-11-15 18:21:27] 前往[-81,104],容忍度4
[2023-11-15 18:21:31] Y轴到了
[2023-11-15 18:21:46] 前往[-73,118],容忍度4
[2023-11-15 18:21:47] Y轴卡住:1
[2023-11-15 18:21:47] Y轴卡住:2
[2023-11-15 18:21:47] Y轴到了
[2023-11-15 18:22:05] 前往[5,118],容忍度4
[2023-11-15 18:22:08] Y轴到了
[2023-11-15 18:22:24] 前往[15,68],容忍度4
[2023-11-15 18:22:26] Y轴卡住:1
[2023-11-15 18:22:26] Y轴卡住:2
[2023-11-15 18:22:27] Y轴卡住:3
[2023-11-15 18:22:27] Y轴卡住:4
[2023-11-15 18:22:27] Y轴卡住:5
[2023-11-15 18:22:27] Y轴卡住:6
[2023-11-15 18:22:27] Y轴卡住:7
[2023-11-15 18:22:27] Y轴卡住:8
[2023-11-15 18:22:27] Y轴卡住:9
[2023-11-15 18:22:27] Y轴卡住:10
[2023-11-15 18:22:27] Y轴卡住:11
[2023-11-15 18:22:27] Y轴卡住:12
[2023-11-15 18:22:27] Y轴卡住:13
[2023-11-15 18:22:27] Y轴卡住:14
[2023-11-15 18:22:27] Y轴卡住:15
[2023-11-15 18:22:27] 确实是卡住了
[2023-11-15 18:22:27] 钩子一次
[2023-11-15 18:22:28] Y轴卡住:1
[2023-11-15 18:22:28] Y轴卡住:2
[2023-11-15 18:22:28] Y轴卡住:0
[2023-11-15 18:22:28] Y轴卡住:1
[2023-11-15 18:22:28] Y轴卡住:0
[2023-11-15 18:22:28] Y轴卡住:1
[2023-11-15 18:22:28] Y轴卡住:0
[2023-11-15 18:22:28] Y轴卡住:1
[2023-11-15 18:22:28] Y轴卡住:0
[2023-11-15 18:22:28] Y轴卡住:1
[2023-11-15 18:22:28] Y轴卡住:2
[2023-11-15 18:22:28] Y轴卡住:0
[2023-11-15 18:22:28] Y轴卡住:1
[2023-11-15 18:22:28] Y轴卡住:0
[2023-11-15 18:22:28] Y轴卡住:1
[2023-11-15 18:22:28] Y轴卡住:2
[2023-11-15 18:22:28] Y轴卡住:3
[2023-11-15 18:22:29] Y轴卡住:4
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:29] Y轴卡住:2
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:29] Y轴卡住:0
[2023-11-15 18:22:29] Y轴卡住:1
[2023-11-15 18:22:30] Y轴卡住:2
[2023-11-15 18:22:30] Y轴卡住:3
[2023-11-15 18:22:30] Y轴卡住:4
[2023-11-15 18:22:30] Y轴卡住:5
[2023-11-15 18:22:30] Y轴卡住:6
[2023-11-15 18:22:30] Y轴卡住:7
[2023-11-15 18:22:30] Y轴卡住:8
[2023-11-15 18:22:30] Y轴卡住:9
[2023-11-15 18:22:30] Y轴卡住:10
[2023-11-15 18:22:30] Y轴卡住:11
[2023-11-15 18:22:30] Y轴卡住:12
[2023-11-15 18:22:30] Y轴卡住:13
[2023-11-15 18:22:30] Y轴卡住:14
[2023-11-15 18:22:30] Y轴卡住:15
[2023-11-15 18:22:30] Y轴到了
[2023-11-15 18:22:53] 前往[15,68],容忍度4
[2023-11-15 18:22:55] Y轴卡住:1
[2023-11-15 18:22:55] Y轴卡住:2
[2023-11-15 18:22:55] Y轴卡住:3
[2023-11-15 18:22:55] Y轴卡住:4
[2023-11-15 18:22:56] Y轴卡住:5
[2023-11-15 18:22:56] Y轴卡住:6
[2023-11-15 18:22:56] Y轴卡住:7
[2023-11-15 18:22:56] Y轴卡住:8
[2023-11-15 18:22:56] Y轴卡住:9
[2023-11-15 18:22:56] Y轴卡住:10
[2023-11-15 18:22:56] Y轴卡住:11
[2023-11-15 18:22:56] Y轴卡住:12
[2023-11-15 18:22:56] Y轴卡住:0
[2023-11-15 18:22:56] Y轴卡住:1
[2023-11-15 18:22:56] Y轴卡住:2
[2023-11-15 18:22:56] Y轴卡住:3
[2023-11-15 18:22:56] Y轴卡住:4
[2023-11-15 18:22:56] Y轴卡住:5
[2023-11-15 18:22:56] Y轴卡住:6
[2023-11-15 18:22:56] Y轴卡住:7
[2023-11-15 18:22:56] Y轴卡住:8
[2023-11-15 18:22:56] Y轴卡住:9
[2023-11-15 18:22:56] Y轴卡住:10
[2023-11-15 18:22:57] Y轴卡住:0
[2023-11-15 18:22:57] Y轴卡住:1
[2023-11-15 18:22:57] Y轴卡住:2
[2023-11-15 18:22:57] Y轴卡住:3
[2023-11-15 18:22:57] Y轴卡住:4
[2023-11-15 18:22:57] Y轴卡住:5
[2023-11-15 18:22:57] Y轴卡住:6
[2023-11-15 18:22:57] Y轴卡住:7
[2023-11-15 18:22:57] Y轴卡住:8
[2023-11-15 18:22:57] Y轴卡住:9
[2023-11-15 18:22:57] Y轴卡住:10
[2023-11-15 18:22:57] Y轴卡住:11
[2023-11-15 18:22:57] Y轴卡住:12
[2023-11-15 18:22:57] Y轴卡住:13
[2023-11-15 18:22:57] Y轴卡住:14
[2023-11-15 18:22:57] Y轴卡住:15
[2023-11-15 18:22:57] 确实是卡住了
[2023-11-15 18:22:57] 钩子一次
[2023-11-15 18:22:58] Y轴卡住:0
[2023-11-15 18:22:58] Y轴卡住:1
[2023-11-15 18:22:58] Y轴卡住:0
[2023-11-15 18:22:58] Y轴卡住:1
[2023-11-15 18:22:58] Y轴卡住:0
[2023-11-15 18:22:58] Y轴卡住:1
[2023-11-15 18:22:58] Y轴卡住:0
[2023-11-15 18:22:58] Y轴卡住:1
[2023-11-15 18:22:58] Y轴卡住:0
[2023-11-15 18:22:58] Y轴卡住:1
[2023-11-15 18:22:58] Y轴卡住:0
[2023-11-15 18:22:58] Y轴卡住:1
