[2023-11-07 01:44:43] 前往[36,136],容忍度4
[2023-11-07 01:44:59] 前往[20,122],容忍度0
[2023-11-07 01:45:00] 上跳一次
[2023-11-07 01:45:00] 降落判断:0
[2023-11-07 01:45:00] 降落判断:0
[2023-11-07 01:45:00] 降落判断:1
[2023-11-07 01:45:00] 降落判断:2
[2023-11-07 01:45:00] 降落判断:0
[2023-11-07 01:45:00] 降落判断:1
[2023-11-07 01:45:00] 降落判断:2
[2023-11-07 01:45:00] 降落判断:0
[2023-11-07 01:45:00] 降落判断:1
[2023-11-07 01:45:00] 降落判断:2
[2023-11-07 01:45:01] 降落判断:0
[2023-11-07 01:45:01] 降落判断:1
[2023-11-07 01:45:01] 降落判断:2
[2023-11-07 01:45:01] 降落判断:0
[2023-11-07 01:45:01] 降落判断:1
[2023-11-07 01:45:01] 降落判断:0
[2023-11-07 01:45:01] 降落判断:1
[2023-11-07 01:45:01] 降落判断:2
[2023-11-07 01:45:01] 降落判断:0
[2023-11-07 01:45:01] 降落判断:1
[2023-11-07 01:45:01] 降落判断:2
[2023-11-07 01:45:01] 降落判断:0
[2023-11-07 01:45:01] 降落判断:1
[2023-11-07 01:45:01] 降落判断:2
[2023-11-07 01:45:01] 降落判断:3
[2023-11-07 01:45:01] 降落判断:4
[2023-11-07 01:45:01] 降落判断:5
[2023-11-07 01:45:01] 降落判断:6
[2023-11-07 01:45:01] 判断已经落地
[2023-11-07 01:45:12] 前往[42,150],容忍度0
[2023-11-07 01:45:13] 下跳一次
[2023-11-07 01:45:14] 降落判断:0
[2023-11-07 01:45:14] 降落判断:1
[2023-11-07 01:45:14] 降落判断:2
[2023-11-07 01:45:14] 降落判断:3
[2023-11-07 01:45:14] 判断已经落地
[2023-11-07 01:45:14] 下跳一次
[2023-11-07 01:45:15] 降落判断:0
[2023-11-07 01:45:15] 降落判断:1
[2023-11-07 01:45:15] 降落判断:0
[2023-11-07 01:45:15] 降落判断:1
[2023-11-07 01:45:15] 降落判断:2
[2023-11-07 01:45:15] 降落判断:3
[2023-11-07 01:45:15] 判断已经落地
[2023-11-07 01:45:28] 前往[144,120],容忍度0
[2023-11-07 01:45:28] 右跳
[2023-11-07 01:45:28] 降落判断:0
[2023-11-07 01:45:29] 降落判断:1
[2023-11-07 01:45:29] 降落判断:0
[2023-11-07 01:45:29] 降落判断:1
[2023-11-07 01:45:29] 降落判断:2
[2023-11-07 01:45:29] 降落判断:0
[2023-11-07 01:45:29] 降落判断:1
[2023-11-07 01:45:29] 降落判断:2
[2023-11-07 01:45:29] 降落判断:3
[2023-11-07 01:45:29] 判断已经落地
[2023-11-07 01:45:29] 右跳
